Plant Group,Phenophase Code,PPO_ID,PPO_RDFS_Label,PPO_ID,PPO_RDFS_Label,Notes
C,PO-FIRST,PPO:0002350,{pollen-releasing microsporangiate strobilus present},,,
C,PO-EARLY,PPO:0002350,{pollen-releasing microsporangiate strobilus present},,,
C,PO-MIDDLE,PPO:0002350,{pollen-releasing microsporangiate strobilus present},,,
WH,LV-FIRSTSHOOT,PPO:0002301,{new vegetative shoot system present},PPO:0002615,{non-senescing unfolded true leaf absent},
WH,LV-FIRSTEMERGED,PPO:0002322,{expanding true leaf present},,,
WH,LV-FIRSTUNFOLDED,PPO:0002320,{expanding unfolded true leaf present},,,
WH,LV-ALLUNFOLDED,PPO:0002315,{unfolded true leaf present},,,
WH,LV-FIRSTWITHERED,PPO:0002317,{senescing true leaf present},PPO:0002316,{non-senescing unfolded true leaf present},
WH,LV-ALLWITHERED,PPO:0002370,{senesced true leaf present},PPO:0002615,{non-senescing unfolded true leaf absent},
G,LV-FIRSTEMERGED,PPO:0002322,{expanding true leaf present},,,
G,LV-MIDDLE,PPO:0002315,{unfolded true leaf present},,,
G,LV-ALLWITHERED,PPO:0002370,{senesced true leaf present},PPO:0002615,{non-senescing unfolded true leaf absent},
DTS,LU-NONE,PPO:0002612,{true leaf absent},,,"although there could be senesced marcescent leaves present, which are technically true leaves, the intent here is to indicate no expanding or unfolded leaves, so true leaf absent is the best choice given how the PPO is structured"
DTS,LU-BUDBURST,PPO:0002311,{breaking vegetative bud present},PPO:0002614,{unfolded true leaf absent},
DTS,LU-FIRST,PPO:0002320,{expanding unfolded true leaf present},,,
DTS,LU-EARLY,PPO:0002320,{expanding unfolded true leaf present},,,
DTS,LU-MIDDLE,PPO:0002320,{expanding unfolded true leaf present},,,
DTS,LU-ALLUNFOLDED,PPO:0002315,{unfolded true leaf present},,,
DTS,LC-NONE,PPO:0002616,{senescing true leaf absent},,,
DTS,LC-EARLY,PPO:0002317,{senescing true leaf present},,,
DTS,LC-FIFTYCOLOR,PPO:0002317,{senescing true leaf present},,,
DTS,LC-ALLCHANGED,PPO:0002317,{senescing true leaf present},PPO:0002615,{non-senescing unfolded true leaf absent},
DTS,LD-NONE,PPO:0002656,{abscised leaf absent},,,
DTS,LD-EARLY,PPO:0002357,{abscised leaf present},,,
DTS,LD-FIFTYLEAFDROP,PPO:0002357,{abscised leaf present},,,
DTS,LD-ALLDROPPED,PPO:0002357,{abscised leaf present},,,"cannot say leaves absent because definition is ""Most or all have dropped"", no need to report non-senescing unfolded true leaf absent because this would already be reported under leaf color change status"
C,NE-NONE,PPO:0002621,{expanding true leaf absent},,,
C,NE-FIRST,PPO:0002314,{unfolding true leaf present},,,
C,NE-EARLY,PPO:0002320,{expanding unfolded true leaf present},,,
C,NE-MIDDLE,PPO:0002320,{expanding unfolded true leaf present},,,
