?trait	?trait_name	?mapped_traits
<http://purl.obolibrary.org/obo/PPO_0002624>	"non-senesced reproductive shoot system absent"	"non-senesced reproductive shoot system absent"
<http://purl.obolibrary.org/obo/PPO_0002630>	"non-senesced flower absent"	"non-senesced flower absent"
<http://purl.obolibrary.org/obo/PPO_0002610>	"breaking vegetative bud absent"	"breaking vegetative bud absent"
<http://purl.obolibrary.org/obo/PPO_0002643>	"unripe fruit absent"	"unripe fruit absent"
<http://purl.obolibrary.org/obo/PPO_0002658>	"abscised megasporangiate strobilus absent"	"abscised megasporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002353>	"ripening megasporangiate strobilus present"	"ripening megasporangiate strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002640>	"senesced inflorescence absent"	"senesced inflorescence absent"
<http://purl.obolibrary.org/obo/PPO_0002652>	"ripening megasporangiate strobilus absent"	"ripening megasporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002653>	"unripe megasporangiate strobilus absent"	"unripe megasporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002613>	"unfolding true leaf absent"	"unfolding true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002333>	"open flower present"	"open flower present|plant structure present"
