dataSource,scientificName,trait,family,year,dayOfYear,latitude,longitude,observedMetadataUrl,occurrenceID,genus,date,recordedBy,coordinateUncertaintyInMeters,modelUri,accuracyExcludingUncertainFamily,ObservedImageUrl,verbatimTrait,annotation_method
iNaturalist,Ficus petiolaris,green leaves present,Moraceae,2011,238,23.4985664425,-109.7944118618,https://www.inaturalist.org/observations/0025299b-1973-4bc7-9499-72da210975c3,0025299b-1973-4bc7-9499-72da210975c3,Ficus,2011-08-26,40170,22,10.57967/hf/5785,1,https://www.inaturalist.org/photos/74159103,green leaves,machine
iNaturalist,Salix myrtillifolia,green leaves present,Salicaceae,2000,240,55.01395,-85.42284,https://www.inaturalist.org/observations/0027599a-94a3-4db9-bab5-4ff7f4cecc28,0027599a-94a3-4db9-bab5-4ff7f4cecc28,Salix,2000-08-27,111485,NA,10.57967/hf/5785,0.9788867562380038,https://www.inaturalist.org/photos/229396640,green leaves,machine
iNaturalist,Betula pendula pendula,green leaves present,Betulaceae,1987,213,37.751005,14.993435,https://www.inaturalist.org/observations/00287272-fe17-40eb-8301-ee525e5073c7,00287272-fe17-40eb-8301-ee525e5073c7,Betula,1987-08-01,29474,NA,10.57967/hf/5785,0.9836956521739132,https://www.inaturalist.org/photos/31277034,green leaves,machine
iNaturalist,Populus nigra,green leaves present,Salicaceae,2004,63,40.4346008703,-2.749414444,https://www.inaturalist.org/observations/0028bd11-3601-4b8e-b9fc-dde8d564a348,0028bd11-3601-4b8e-b9fc-dde8d564a348,Populus,2004-03-03,1978464,NA,10.57967/hf/5785,0.9788867562380038,https://www.inaturalist.org/photos/60784886,green leaves,machine
iNaturalist,Liquidambar styraciflua,colored leaves present,Altingiaceae,2009,332,35.6219577075,-78.9310786411,https://www.inaturalist.org/observations/002a1a70-236b-4d47-9295-0639bd39b30e,002a1a70-236b-4d47-9295-0639bd39b30e,Liquidambar,2009-11-28,2116455,484,10.57967/hf/5785,1,https://www.inaturalist.org/photos/54303097,colored leaves,machine
iNaturalist,Aesculus californica,green leaves present,Sapindaceae,2007,119,37.810492000000004,-122.36645,https://www.inaturalist.org/observations/002df849-9194-4508-ac8c-b9d040aa9ead,002df849-9194-4508-ac8c-b9d040aa9ead,Aesculus,2007-04-29,25635,400,10.57967/hf/5785,0.9802110817941952,https://www.inaturalist.org/photos/59986338,green leaves,machine
iNaturalist,Celtis africana,green leaves present,Cannabaceae,2009,311,-26.8895016162,27.3254948596,https://www.inaturalist.org/observations/002e10f4-a8d2-4b28-9f76-76f5c64e7a12,002e10f4-a8d2-4b28-9f76-76f5c64e7a12,Celtis,2009-11-07,715307,15,10.57967/hf/5785,0.972972972972973,https://www.inaturalist.org/photos/256083437,green leaves,machine
iNaturalist,Ligustrum sinense,green leaves present,Oleaceae,2008,154,35.817422,-81.180358,https://www.inaturalist.org/observations/002fd703-1a10-479f-af5f-6a57749cb757,002fd703-1a10-479f-af5f-6a57749cb757,Ligustrum,2008-06-02,263819,NA,10.57967/hf/5785,0.9937888198757764,https://www.inaturalist.org/photos/5884981,green leaves,machine
iNaturalist,Lonicera dioica,green leaves present,Caprifoliaceae,2012,197,44.7704798567,-78.2024752585,https://www.inaturalist.org/observations/003053b9-c15b-4acb-9320-5d251b36b0eb,003053b9-c15b-4acb-9320-5d251b36b0eb,Lonicera,2012-07-15,1106722,8,10.57967/hf/5785,0.996492985971944,https://www.inaturalist.org/photos/170151395,green leaves,machine
iNaturalist,Liriodendron tulipifera,green leaves present,Magnoliaceae,2012,135,39.2969723066,-75.0089992616,https://www.inaturalist.org/observations/003078ed-f7d7-461c-b341-d5b814a04aff,003078ed-f7d7-461c-b341-d5b814a04aff,Liriodendron,2012-05-14,2526168,122,10.57967/hf/5785,0.9872611464968152,https://www.inaturalist.org/photos/253079435,green leaves,machine
iNaturalist,Diervilla lonicera,green leaves present,Caprifoliaceae,2010,174,39.6306372,-79.129823,https://www.inaturalist.org/observations/003192f8-0bb1-4a63-826c-f301f36c35e0,003192f8-0bb1-4a63-826c-f301f36c35e0,Diervilla,2010-06-23,1588724,181,10.57967/hf/5785,0.996492985971944,https://www.inaturalist.org/photos/51471410,green leaves,machine
iNaturalist,Betula nana exilis,breaking buds present,Betulaceae,2012,148,55.851111909,158.6253575273,https://www.inaturalist.org/observations/0031d04d-4c6c-4b15-8440-7ae0af12a5bf,0031d04d-4c6c-4b15-8440-7ae0af12a5bf,Betula,2012-05-27,726771,122,10.57967/hf/5785,0.9921671018276762,https://www.inaturalist.org/photos/40047501,breaking buds,machine
iNaturalist,Rhus typhina,green leaves present,Anacardiaceae,2012,141,44.0313147085,-73.192639285,https://www.inaturalist.org/observations/003416c7-0d18-48eb-8165-89ecdf92ea6e,003416c7-0d18-48eb-8165-89ecdf92ea6e,Rhus,2012-05-20,2179,5,10.57967/hf/5785,0.980719794344473,https://www.inaturalist.org/photos/119060,green leaves,machine
iNaturalist,Clematis alpina sibirica,green leaves present,Ranunculaceae,2007,181,49.9904496168,86.5542060689,https://www.inaturalist.org/observations/0034932c-979e-41a1-b8ee-e39a134ae257,0034932c-979e-41a1-b8ee-e39a134ae257,Clematis,2007-06-30,2511740,300,10.57967/hf/5785,0.9668508287292816,https://www.inaturalist.org/photos/286266249,green leaves,machine
iNaturalist,Quercus robur,green leaves present,Fagaceae,2002,152,55.9110152762,39.0637161733,https://www.inaturalist.org/observations/003511a6-fc6c-4386-b8ad-2e0dc1b8dd98,003511a6-fc6c-4386-b8ad-2e0dc1b8dd98,Quercus,2002-06-01,2567727,8,10.57967/hf/5785,0.9927089175546832,https://www.inaturalist.org/photos/101033661,green leaves,machine
