verbatim_trait,status,trait_urn,trait
Full pollen release (angiosperms),1,PPO:0002334,pollen-releasing flower present
Full pollen release (conifers),0,,
Full pollen release (conifers),1,PPO:0002350,pollen-releasing microsporangiate strobilus present
Pollen release (flowers),0,PPO:0002633,pollen-releasing flower absent
Pollen release (flowers),1,PPO:0002334,pollen-releasing flower present
Pollen release (conifers),0,PPO:0002649,pollen-releasing microsporangiate strobilus absent
Pollen release (conifers),1,PPO:0002350,pollen-releasing microsporangiate strobilus present
End bloom (historic lilac/eastern honeysuckle),1,PPO:0002335,senesced flower present
End of flowering (lilac/honeysuckle),0,,
End of flowering (lilac/honeysuckle),1,PPO:0002335,senesced flower present
End bloom (historic western honeysuckle),1,PPO:0002335,senesced flower present
Fruits,0,PPO:0002641,simple fruit or compound fruit absent
Fruits,1,PPO:0002342,simple fruit or compound fruit present
Seed cones,0,PPO:0002651,non-senesced megasporangiate strobilus absent
Seed cones,1,PPO:0002352,non-senesced megasporangiate strobilus present
Unripe seed cones,0,PPO:0002671,immature post-fertilization megasporangiate strobilus absent
Unripe seed cones,1,PPO:0002372,immature post-fertilization megasporangiate strobilus present
Ripe fruits (1 location),0,PPO:0002644,ripe fruit absent
Ripe fruits (1 location),1,PPO:0002345,ripe fruit present
Ripe seeds (grasses),0,PPO:0002644,ripe fruit absent
Ripe seeds (grasses),1,PPO:0002345,ripe fruit present
Ripe fruits,0,PPO:0002644,ripe fruit absent
Ripe fruits,1,PPO:0002345,ripe fruit present
Ripe seed cones,0,PPO:0002672,mature megasporangiate strobilus absent
Ripe seed cones,1,PPO:0002373,mature megasporangiate strobilus present
First red berry (historic western honeysuckle),1,PPO:0002345,ripe fruit present
Full red berries (historic western honeysuckle),1,PPO:0002345,ripe fruit present
First shriveled berry (historic western honeysuckle),1,PPO:0002345,ripe fruit present
Full shriveled berries (historic western honeysuckle),1,PPO:0002345,ripe fruit present
Recent cone or seed drop,0,PPO:0002658,abscised megasporangiate strobilus absent
Recent cone or seed drop,1,PPO:0002359,abscised megasporangiate strobilus present
Recent fruit or seed drop,0,PPO:0002657,abscised fruit absent
Recent fruit or seed drop,1,PPO:0002358,abscised fruit present
