scientificName,family,canonicalName,matchedScientificName,status,matchType,confidence,usageKey,error
Carpinus caroliniana,Betulaceae,Carpinus caroliniana,Carpinus caroliniana Walter,ACCEPTED,EXACT,100,2875842,
Carya cordiformis,Juglandaceae,Carya cordiformis,Carya cordiformis (Wangenh.) K.Koch,ACCEPTED,EXACT,99,3054299,
Carya glabra,Juglandaceae,Carya glabra,Carya glabra (Mill.) Sweet,ACCEPTED,EXACT,100,3054325,
Carya illinoinensis,Juglandaceae,Carya illinoinensis,Carya illinoinensis (Wangenh.) K.Koch,ACCEPTED,EXACT,100,3054289,
Carya ovata,Juglandaceae,Carya ovata,Carya ovata (Mill.) K.Koch,ACCEPTED,EXACT,99,3054296,
Carya tomentosa,Juglandaceae,Carya tomentosa,Carya tomentosa (Lam.) Nutt.,SYNONYM,EXACT,100,3054304,
Cassiope mertensiana,Ericaceae,Cassiope mertensiana,Cassiope mertensiana (Bong.) D.Don,ACCEPTED,EXACT,99,8368344,
Castanea dentata,Fagaceae,Castanea dentata,Castanea dentata (Marshall) Borkh.,ACCEPTED,EXACT,99,5333230,
Catalpa speciosa,Bignoniaceae,Catalpa speciosa,Catalpa speciosa (Warder ex Barney) Warder ex Engelm.,ACCEPTED,EXACT,99,3172612,
Caulophyllum thalictroides,Berberidaceae,Caulophyllum thalictroides,Caulophyllum thalictroides (L.) Michx.,ACCEPTED,EXACT,99,3033920,
Ceanothus americanus,Rhamnaceae,Ceanothus americanus,Ceanothus americanus L.,ACCEPTED,EXACT,99,3039318,
Ceanothus cuneatus,Rhamnaceae,Ceanothus cuneatus,Ceanothus cuneatus (Hook.) Nutt.,ACCEPTED,EXACT,99,3039404,
Celastrus orbiculatus,Celastraceae,Celastrus orbiculatus,Celastrus orbiculatus Thunb.,ACCEPTED,EXACT,99,3169169,
Celtis laevigata,Cannabaceae,Celtis laevigata,Celtis laevigata Willd.,ACCEPTED,EXACT,99,2984491,
Celtis occidentalis,Cannabaceae,Celtis occidentalis,Celtis occidentalis L.,ACCEPTED,EXACT,99,2984481,
Celtis pallida,Cannabaceae,Celtis pallida,Celtis pallida Torr.,ACCEPTED,EXACT,100,2984494,
Celtis reticulata,Cannabaceae,Celtis reticulata,Celtis reticulata Torr.,ACCEPTED,EXACT,99,6406316,
Centaurea solstitialis,Asteraceae,Centaurea solstitialis,Centaurea solstitialis L.,ACCEPTED,EXACT,99,3128888,
Centaurea stoebe,Asteraceae,Centaurea stoebe,Centaurea stoebe L.,ACCEPTED,EXACT,99,3127727,
Centrosema virginianum,Fabaceae,Centrosema virginianum,Centrosema virginianum (L.) Benth.,ACCEPTED,EXACT,99,2964906,
Cephalanthus occidentalis,Rubiaceae,Cephalanthus occidentalis,Cephalanthus occidentalis L.,ACCEPTED,EXACT,99,2923947,
Cercis canadensis,Fabaceae,Cercis canadensis,Cercis canadensis L.,ACCEPTED,EXACT,99,5353583,
Cercis occidentalis,Fabaceae,Cercis occidentalis,Cercis occidentalis Torr. ex A.Gray,ACCEPTED,EXACT,99,5353595,
Cercocarpus montanus,Rosaceae,Cercocarpus montanus,Cercocarpus montanus Raf.,ACCEPTED,EXACT,100,3001912,
Chamaecrista nictitans,Fabaceae,Chamaecrista nictitans,Chamaecrista nictitans (L.) Moench,ACCEPTED,EXACT,100,2950302,
Chamaedaphne calyculata,Ericaceae,Chamaedaphne calyculata,Chamaedaphne calyculata (L.) Moench,ACCEPTED,EXACT,99,5333436,
Chamerion angustifolium,Onagraceae,Chamerion angustifolium,Chamerion angustifolium (L.) Holub,SYNONYM,EXACT,100,3188783,
Chasmanthium latifolium,Poaceae,Chasmanthium latifolium,Chasmanthium latifolium (Michx.) H.O.Yates,ACCEPTED,EXACT,99,2703077,
Chelidonium majus,Papaveraceae,Chelidonium majus,Chelidonium majus L.,ACCEPTED,EXACT,99,5334186,
Chelone glabra,Plantaginaceae,Chelone glabra,Chelone glabra L.,ACCEPTED,EXACT,100,5414935,
Chilopsis linearis,Bignoniaceae,Chilopsis linearis,Chilopsis linearis (Cav.) Sweet,ACCEPTED,EXACT,99,5415072,
Chimaphila maculata,Ericaceae,Chimaphila maculata,Chimaphila maculata (L.) Pursh,ACCEPTED,EXACT,100,2888304,
Chionanthus virginicus,Oleaceae,Chionanthus virginicus,Chionanthus virginicus L.,ACCEPTED,EXACT,100,3172303,
Cirsium texanum,Asteraceae,Cirsium texanum,Cirsium texanum Buckley,ACCEPTED,EXACT,100,3113276,
Cirsium vulgare,Asteraceae,Cirsium vulgare,Cirsium vulgare (Savi) Ten.,ACCEPTED,EXACT,99,3112801,
Citrus spp.,Rutaceae,Citrus,Citrus L.,ACCEPTED,HIGHERRANK,96,3190155,
Cladrastis kentukea,Fabaceae,Cladrastis kentukea,Cladrastis kentukea (Dum.Cours.) Rudd,ACCEPTED,EXACT,99,2945513,
Claytonia caroliniana,Montiaceae,Claytonia caroliniana,Claytonia caroliniana Michx.,ACCEPTED,EXACT,100,3084760,
Claytonia lanceolata,Montiaceae,Claytonia lanceolata,Claytonia lanceolata Pursh,ACCEPTED,EXACT,99,3084746,
Claytonia virginica,Montiaceae,Claytonia virginica,Claytonia virginica L.,ACCEPTED,EXACT,100,3084745,
Clematis pitcheri,Ranunculaceae,Clematis pitcheri,Clematis pitcheri Torr. & A.Gray,ACCEPTED,EXACT,99,3033577,
Clematis vitalba,Ranunculaceae,Clematis vitalba,Clematis vitalba L.,ACCEPTED,EXACT,99,3033558,
Clethra alnifolia,Clethraceae,Clethra alnifolia,Clethra alnifolia L.,ACCEPTED,EXACT,99,2888323,
Clintonia borealis,Liliaceae,Clintonia borealis,Clintonia borealis (Aiton) Raf.,ACCEPTED,EXACT,100,2753574,
Coccoloba uvifera,Polygonaceae,Coccoloba uvifera,Coccoloba uvifera (L.) L.,ACCEPTED,EXACT,99,2888831,
Coleogyne ramosissima,Rosaceae,Coleogyne ramosissima,Coleogyne ramosissima Torr.,ACCEPTED,EXACT,100,3032187,
