guid,errors
590c3aff-0e33-44c0-b992-adc37d80639d,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
22b58b7a-a801-46d3-84d0-4d85314f19dd,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
e5ccdfcf-5a09-467b-ba11-c3ebfc405f33,prediction class must be 'detected'|certainty must be set to 'high' to load
e1e49296-1ce7-4398-8b85-a91017ab8d22,prediction class must be 'detected'
5f3325c7-f2e5-4602-9557-d7fe7a755710,prediction class must be 'detected'
012e8ae2-0527-40fc-afcf-4b5d2d51d9ce,prediction class must be 'detected'
043966db-83b8-435e-8d3f-7bd492b320d5,prediction class must be 'detected'
b23d342f-4909-4fa6-bb53-2d0f8f91bd1e,prediction class must be 'detected'
11188f1f-6d00-43ec-8f88-14d4abd5aaef,prediction class must be 'detected'
4db8caea-828f-4c60-824a-8ba111110157,prediction class must be 'detected'
61cd29ce-8559-4bea-8bcd-046b96426e1a,prediction class must be 'detected'
797f3cf9-d7db-4ecc-9a40-91988e1d505f,prediction class must be 'detected'
9852cb38-47d5-446c-a140-0d51f2708651,prediction class must be 'detected'
1d47e5fe-c6ec-43a1-be97-e46090c160e9,prediction class must be 'detected'
3463bc9b-8248-47ad-95fb-286f693c60f2,prediction class must be 'detected'
c13c8dd8-9e04-4ffc-9ee2-1ac46ccfe27b,prediction class must be 'detected'
417a49e3-d35b-4714-b656-6d516371960a,prediction class must be 'detected'
c46f9372-065e-4c13-976c-e2a4454865dc,prediction class must be 'detected'
b96bbeba-5d8e-4df2-85ea-67e8f352507c,prediction class must be 'detected'
3ce28994-f24d-4a9e-bd98-bfd95dafe32d,prediction class must be 'detected'
1a026c1e-7cdc-422b-aaf8-ca81dca80c14,prediction class must be 'detected'
7d12bc78-f2a3-4939-a5a7-4154fbf39485,prediction class must be 'detected'
5f5c42e3-a1b7-46c4-8d3d-87e707bfd946,Field 'coordinate_uncertainty_meters' must be an integer
2791ff11-035a-4237-98ce-63e42490394d,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
ce47fd13-819a-44f6-950a-71e8a136fdf8,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
cc4f2711-d5cf-482e-9b82-898b4de81a36,Field 'coordinate_uncertainty_meters' must be an integer
8c455efd-279b-47fd-9a81-bfb8684791a5,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
57645491-834d-472e-bdb0-07e92c533ee8,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
4aa17a59-45f0-41c4-aa40-ba171e4c84e8,prediction class must be 'detected'|certainty must be set to 'high' to load
a0be57b2-9cb1-4df6-bfe9-b1a67faacc99,prediction class must be 'detected'
fc89b4aa-34aa-40cc-bb43-62131cfc5bd0,prediction class must be 'detected'
8b1714ea-b372-4237-9fbc-c4c1c5342d47,Field 'coordinate_uncertainty_meters' must be an integer
5078574c-7c26-420c-9747-f2f179342acc,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
3adfa54e-8380-47ee-b255-e967f22e7473,prediction class must be 'detected'
4a490b97-eff2-438e-a67f-2d858393ea31,prediction class must be 'detected'
459121fc-4360-4ed9-9237-a757638cad8d,prediction class must be 'detected'
5c65f120-53e6-4545-b655-989d96d81034,prediction class must be 'detected'|certainty must be set to 'high' to load
727339a7-2ff6-4e5e-bea7-c837d38f4304,prediction class must be 'detected'
31e92b07-7ab7-40f1-ac53-13cdcdeadaf2,prediction class must be 'detected'
2ca76518-cf60-47d1-a529-c999ba6f9c61,prediction class must be 'detected'
836e8ddc-62b6-4970-aa79-494a18061b0b,prediction class must be 'detected'
