machine_learning_annotation_id,datasource,verbatim_date,day_of_year,year,latitude,longitude,coordinate_uncertainty_meters,family,count_family,genus,scientific_name,taxon_rank,trait,observed_image_guid,observed_image_url,observed_metadata_url,certainty,model_uri,prediction_probability,prediction_class,proportion_low_certainty_family,accuracy_excluding_low_certainty_family,accuracy_family
c9a6b747-a45f-45dc-ab0a-467b2ce79135,iNaturalist,7/26/18,207,2018,40.92099444,-121.4191583,5,Asteraceae,104342,Rigiopappus,Rigiopappus leptocladus,species,fruit,22302161,https://www.inaturalist.org/photos/22302161,https://www.inaturalist.org/observations/831f3b30-4c58-4e02-8d9c-34b9f53d0b05,low,10.57967/hf/2763,0.625488281,Detected,0.058126162,0.977909379,0.960054436
8bfddfbf-8a34-4a10-bb2b-82860a07320b,iNaturalist,6/15/21,166,2021,0.853766235,-79.82582733,30,Solanaceae,3009,Solanum,Solanum lycopersicum,species,flower,136622166,https://www.inaturalist.org/photos/136622166,https://www.inaturalist.org/observations/7c795cff-32d4-47e0-8064-2d5ba19e82d9,high,10.57967/hf/2763,0.014503479,Not Detected,0.114656032,0.964714715,0.912927883
196911ed-1c58-495d-b9a6-92316c61fdc6,iNaturalist,6/15/21,166,2021,0.853766235,-79.82582733,30,Solanaceae,3009,Solanum,Solanum lycopersicum,species,fruit,136622166,https://www.inaturalist.org/photos/136622166,https://www.inaturalist.org/observations/7c795cff-32d4-47e0-8064-2d5ba19e82d9,high,10.57967/hf/2763,0.9921875,Detected,0.158856763,0.946266298,0.894649385
ff5e9d1d-6d5a-4a64-a4a4-183fb5bda16c,iNaturalist,11/20/19,324,2019,29.25452403,48.02929198,4,Zygophyllaceae,2113,Tribulus,Tribulus terrestris,species,flower,56652210,https://www.inaturalist.org/photos/56652210,https://www.inaturalist.org/observations/a9c7009f-a2cd-40f6-897d-e4137634d2c8,high,10.57967/hf/2763,0.217895508,Not Detected,0.082347373,0.969056215,0.938949361
2651e257-6d75-414f-b243-456448ed4ad4,iNaturalist,11/20/19,324,2019,29.25452403,48.02929198,4,Zygophyllaceae,2113,Tribulus,Tribulus terrestris,species,fruit,56652210,https://www.inaturalist.org/photos/56652210,https://www.inaturalist.org/observations/a9c7009f-a2cd-40f6-897d-e4137634d2c8,low,10.57967/hf/2763,0.601074219,Detected,0.153809749,0.931767338,0.874585897
cd401c2e-7e51-4a87-a556-3983c611cae0,iNaturalist,7/4/11,185,2011,66.553704,33.248169,451,Caryophyllaceae,11578,Dianthus,Dianthus superbus,species,flower,31317598,https://www.inaturalist.org/photos/31317598,https://www.inaturalist.org/observations/065220fe-a818-4e6d-8ddd-7296b6e7c6e4,high,10.57967/hf/2763,0.999023438,Detected,0.053549836,0.991604307,0.964588012
838452d5-fc78-4714-9a7f-17df7ba587d9,iNaturalist,7/4/11,185,2011,66.553704,33.248169,451,Caryophyllaceae,11578,Dianthus,Dianthus superbus,species,fruit,31317598,https://www.inaturalist.org/photos/31317598,https://www.inaturalist.org/observations/065220fe-a818-4e6d-8ddd-7296b6e7c6e4,high,10.57967/hf/2763,0.004886627,Not Detected,0.042926239,0.978160816,0.965797202
cbdd9cce-1638-4f16-b4ee-71d8fe6ee4b6,iNaturalist,6/8/21,159,2021,60.20576757,24.86279363,8,Rosaceae,20597,Fragaria,Fragaria moschata,species,flower,134861915,https://www.inaturalist.org/photos/134861915,https://www.inaturalist.org/observations/dc9f1d83-4f11-46e7-80e5-661a0775f2dd,high,10.57967/hf/2763,0.070800781,Not Detected,0.045006554,0.985815963,0.960722435
ecd3b70f-1ffd-4be4-8708-b19ec5c2bf20,iNaturalist,6/8/21,159,2021,60.20576757,24.86279363,8,Rosaceae,20597,Fragaria,Fragaria moschata,species,fruit,134861915,https://www.inaturalist.org/photos/134861915,https://www.inaturalist.org/observations/dc9f1d83-4f11-46e7-80e5-661a0775f2dd,high,10.57967/hf/2763,0.047515869,Not Detected,0.040928291,0.977118558,0.962421712
10229f92-e60f-43be-944b-8a5b4dfeafc3,iNaturalist,6/17/16,169,2016,32.691839,-97.190748,4,Montiaceae,5389,Phemeranthus,Phemeranthus parviflorus,species,flower,4050280,https://www.inaturalist.org/photos/4050280,https://www.inaturalist.org/observations/124b18f2-2723-45a8-970f-d61bb7e5c9dc,low,10.57967/hf/2763,0.299072266,Not Detected,0.075524216,0.98454436,0.943217666
50c5f72c-7ac8-4ab9-a8b1-1efd7db7bd44,iNaturalist,6/17/16,169,2016,32.691839,-97.190748,4,Montiaceae,5389,Phemeranthus,Phemeranthus parviflorus,species,fruit,4050280,https://www.inaturalist.org/photos/4050280,https://www.inaturalist.org/observations/124b18f2-2723-45a8-970f-d61bb7e5c9dc,low,10.57967/hf/2763,0.544921875,Detected,0.018556318,0.985630554,0.979959176
e351030b-6489-4a0c-a4e5-983ba353838f,iNaturalist,6/7/19,158,2019,53.9715619,37.1809959,300,Asteraceae,104342,Cirsium,Cirsium arvense,species,flower,42954365,https://www.inaturalist.org/photos/42954365,https://www.inaturalist.org/observations/f25096ac-064d-4b25-a7ba-c643a0f94443,high,10.57967/hf/2763,0.241821289,Not Detected,0.076009661,0.982813164,0.944087712
